class,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17
2,4.96284,4.44265,4.67283,4.45435,5.04986,4.94164,4.94164,4.69135,4.96981,5.1299,4.34381,4.55388,4.69135,4.78749,4.62497,4.74493,4.7362
4,5.93489,6.19644,5.92158,5.84354,5.87493,6.05678,5.76519,5.49717,5.95842,6.35437,6.24804,6.04737,5.9135,5.95064,5.61313,5.89164,5.86647
4,7.54274,7.65255,7.56993,7.67555,7.67971,7.35052,7.38275,7.78447,7.38895,8.80433,7.91936,7.73674,7.5761,8.16735,7.8774,8.09071,7.98888
4,7.57815,7.55591,7.98139,7.66763,7.7003,7.44366,7.63095,7.57815,7.39511,8.47366,7.89581,7.68386,7.48829,7.8842,7.70481,7.85787,7.80098
4,6.47697,7.06476,6.47389,6.48768,6.62672,6.24417,6.08904,5.68698,6.68835,6.91274,6.32794,6.64769,6.58341,6.42972,6.21661,7.0282,6.96414
4,7.72842,7.39817,7.96832,7.54803,7.33889,7.33954,7.53209,7.25418,7.25912,8.74751,7.89841,7.63964,7.51752,7.8071,7.51969,8.01434,7.91972
4,8.01036,7.91498,8.43663,8.06903,8.41361,7.89432,8.12681,8.06495,7.88269,9.12129,8.37793,8.17892,7.88946,8.44827,8.04173,8.45638,8.4198
4,7.45414,7.62021,7.77989,7.53903,7.99362,7.40001,7.48381,7.34213,7.41457,8.93287,7.90618,7.76726,7.4793,7.66903,7.39756,8.09925,8.0087
1,5.16479,5.63835,5.3845,5.55296,5.99894,5.73657,5.48064,5.17048,5.73657,5.56068,5.26269,5.42495,5.55683,5.42495,5.45532,5.83773,5.56452
4,7.33106,7.26052,7.79975,7.49053,7.51043,7.2428,7.42655,7.46508,7.29234,8.36124,7.63916,7.50219,7.35628,7.72974,7.5148,7.77905,7.65728
1,5.24702,5.72359,6.54247,6.07304,5.45959,5.19296,5.01728,4.97673,5.24175,6.18621,5.96101,5.78996,5.35659,5.59099,5.04986,5.1358,4.90527
1,4.45435,4.66344,4.48864,5.03695,5.38907,5.90536,6.3081,6.40026,6.17379,5.47227,5.38907,5.30827,5.78074,5.7869,6.07535,6.20658,6.15486
4,5.88053,5.79301,5.66988,5.37064,4.8752,5.63479,5.9135,5.56834,6.03548,6.286,6.06843,6.1717,6.1334,6.02828,5.70044,6.16542,6.24417
2,4.85981,5.26786,5.14749,5.14749,5.1358,5.32301,5.1985,5.0814,4.89035,5.01064,4.67283,4.23411,4.75359,5.2933,5.09987,5.0689,4.47734
1,6.44095,6.30992,6.18208,6.40523,5.84644,6.80904,6.85646,6.34212,6.59167,6.7546,6.78106,6.55251,6.66441,6.86171,6.63068,6.82763,6.77308
3,4.18965,5.37528,4.35671,4.63473,4.89784,4.45435,4.34381,4.15888,4.23411,3.66356,4.17439,4.39445,4.55388,3.80666,3.93183,4.18965,3.95124
4,6.4552,5.83188,6.39024,6.1181,5.92426,6.11368,6.28972,6.12468,6.1717,6.92264,6.38182,6.19032,6.2691,6.39359,6.18415,6.44889,6.49072
4,8.25088,8.10531,8.23933,8.17667,8.24012,7.97968,8.06715,8.37517,7.68754,8.88682,8.38686,7.95226,7.80792,8.42639,8.28728,8.39706,8.29505
4,8.25088,8.10531,8.23933,8.17667,8.24012,7.97968,8.06715,8.37517,7.68754,8.88682,8.38686,7.95226,7.80792,8.42639,8.28728,8.39706,8.29505
4,6.34564,6.90776,6.01127,6.1717,6.51026,6.47235,6.28413,6.51619,6.60394,7.06219,6.77308,6.82111,6.66568,6.57368,6.60935,7.10414,7.10332
4,8.09224,7.96555,8.57338,8.27283,8.20166,8.12089,8.13065,8.25401,7.68248,8.93036,8.45638,7.81923,7.74327,8.65609,8.22067,8.36007,8.03463
3,3.89182,4.39445,3.66356,4.67283,5.0814,5.12396,4.96284,5.14749,5.01728,4.62497,4.56435,4.89035,5.28827,4.99721,4.89035,5.26269,4.85981
4,6.11147,6.34212,5.18739,5.77144,5.7589,6.09357,6.13773,6.22258,5.81114,5.55683,6.05912,5.8693,5.68017,5.83773,5.57973,5.8693,6.16542
4,8.10168,7.91644,8.31801,8.014,8.17188,7.53369,7.83201,7.71021,7.82923,8.96776,8.00236,8.17103,7.979,8.00903,7.49721,8.477,8.35632
4,6.7093,6.97261,7.35436,7.17396,6.59441,6.94022,6.74288,6.77992,6.97821,7.91972,7.35692,6.96035,7.00216,7.41998,7.2086,7.18159,7.355
1,5.21494,4.5326,3.89182,4.69135,4.58497,4.77912,4.89784,4.83628,5.14166,4.8752,5.01728,5.26269,4.89784,5.10595,5.1358,4.74493,5.3033
4,6.99851,7.13489,6.65157,6.54822,6.52796,6.6695,6.70319,6.63332,6.6733,6.91274,6.78446,7.24137,6.53088,6.56667,6.71296,7.39572,6.80239
3,5.78074,5.84644,5.43372,5.69036,5.80814,5.77455,6.06379,6.13556,5.87774,5.54908,5.53733,5.97126,5.58725,5.88053,5.96101,6.30445,6.00141
4,5.99645,6.25767,6.2691,6.38688,6.51767,5.99396,6.2804,6.20859,6.40192,7.22475,6.85857,5.92693,6.4708,6.82871,6.6107,6.4151,6.67456
1,5.09987,5.52943,5.82008,5.78996,6.27476,5.73979,5.80513,5.52545,5.80814,5.95324,6.13556,6.12687,6.15273,6.15486,5.95842,5.6058,5.60212
4,7.2086,7.45588,7.84854,7.6024,7.74153,7.29641,7.52402,7.51152,7.34601,8.16678,7.69667,7.75534,7.43485,7.6811,7.54645,7.82405,7.53209
4,7.2086,7.45588,7.84854,7.6024,7.74153,7.29641,7.52402,7.51152,7.34601,8.16678,7.69667,7.75534,7.43485,7.6811,7.54645,7.82405,7.53209
1,4.59512,5.00395,6.01127,5.76519,5.09375,4.76217,4.31749,3.95124,4.46591,5.09987,5.76519,5.54126,5.37528,5.07517,4.70048,4.20469,4.60517
3,4.95583,4.99043,5.23644,5.47227,5.49717,5.63121,5.32301,4.81218,4.54329,4.02535,4.70048,5.03044,5.46383,5.35186,5.07517,4.51086,4.64439
2,5.45532,5.25227,4.7362,4.98361,4.89784,5.24702,5.54126,5.54518,5.96871,5.8693,6.11147,6.35611,6.71052,6.80572,6.74759,6.92067,6.64898
4,5.84064,5.94542,5.0876,5.33272,5.63479,5.49306,5.63479,5.52545,6.07304,6.25383,6.24611,6.32257,6.07074,6.20051,6.18621,6.18415,6.1591
1,5.48064,5.74939,5.55296,5.65948,5.34233,5.2832,5.40268,4.91265,5.53339,5.61313,5.84644,5.96871,5.69036,5.4161,5.37064,5.03044,5.35186
4,6.86276,7.26403,7.49776,7.22839,6.98193,6.87626,7.00397,6.94601,6.99302,7.58731,7.0076,7.05618,6.98657,7.00033,6.78672,7.43603,7.11639
4,7.42417,7.7021,7.84267,7.54115,7.76514,7.29777,7.43544,7.42178,7.56579,8.78676,8.13329,7.91498,7.53849,7.87436,7.76938,8.21555,7.94165
4,5.79909,6.06379,5.57595,5.50939,5.99894,5.61677,6.09807,5.92959,6.12905,6.51915,6.37843,6.40192,6.07074,6.25767,6.21461,6.40523,6.18621
1,6.33505,6.60935,7.35372,7.10824,6.75344,6.39359,6.05209,5.84064,6.07993,6.80683,7.08255,7.16007,6.73102,6.55962,6.32436,6.23637,6.13556
4,6.24222,6.32794,6.05678,5.79606,5.87493,5.80513,5.99396,6.01127,6.33328,6.632,6.63857,6.7334,6.31173,6.59304,6.55393,6.93147,6.58617
4,7.54592,7.97178,7.65728,7.70976,7.84542,7.43426,7.61184,7.62706,7.58376,8.66906,8.15823,8.01169,7.643,7.90839,7.95226,8.50106,7.83122
4,7.74153,7.91059,7.55171,7.81601,8.06527,7.51643,7.71691,7.68478,7.66435,8.96661,8.32918,8.11103,7.68662,8.03073,8.01434,8.39931,8.03657
2,6.06379,6.46147,6.66441,6.62274,6.49979,6.35611,6.41017,6.42325,6.46303,6.50279,6.40688,6.48158,6.85118,7.01031,6.84801,7.23346,7.0992
3,3.04452,1.09861,2.30259,3.55535,3.58352,4.41884,4.54329,4.60517,4.33073,3.4012,3.66356,2.99573,4.14313,4.14313,4.23411,3.97029,4.31749
4,7.79152,8.0097,8.31996,7.90618,8.24801,7.7293,7.91936,7.91169,7.6912,8.91153,8.40402,8.17611,7.75448,8.24249,8.12947,8.30301,8.26282
4,7.88458,8.06778,8.26848,7.88571,8.10168,7.58579,7.63482,7.70796,7.63868,9.11965,8.23456,7.81561,7.6406,7.9831,7.92045,8.53798,8.16479
4,7.88458,8.06778,8.26848,7.88571,8.10168,7.58579,7.63482,7.70796,7.63868,9.11965,8.23456,7.81561,7.6406,7.9831,7.92045,8.53798,8.16479
4,7.71468,7.9388,8.07993,7.68616,7.932,7.64156,7.74803,7.74932,7.57405,8.81567,8.10712,7.82124,7.58579,7.96137,7.82485,8.20056,8.03073
4,7.44132,7.6024,7.90949,7.57507,7.82963,7.22475,7.40671,7.34601,7.07327,8.63177,7.91132,7.17012,7.23993,7.54592,7.40062,7.75319,7.72356
4,7.44132,7.6024,7.90949,7.57507,7.82963,7.22475,7.40671,7.34601,7.07327,8.63177,7.91132,7.17012,7.23993,7.54592,7.40062,7.75319,7.72356
4,7.44132,7.6024,7.90949,7.57507,7.82963,7.22475,7.40671,7.34601,7.07327,8.63177,7.91132,7.17012,7.23993,7.54592,7.40062,7.75319,7.72356
4,8.16479,8.49923,8.78447,8.44977,8.327,8.11582,8.28248,8.31189,8.01169,8.99739,8.51959,8.50147,8.20958,8.59656,8.52397,9.15978,8.57904
1,5.03044,5.0689,5.23111,5.45104,5.65599,5.77144,5.62402,5.60947,5.39363,5.37528,5.11199,5.31812,5.47227,4.51086,5.52943,5.50533,5.3845
4,7.0639,7.07581,7.40184,7.20786,7.48099,6.6796,6.99668,6.99302,7.07665,8.6183,7.89357,7.34794,7.13648,7.60837,7.46794,7.49554,7.74889
3,4.17439,4.31749,5.69036,5.34233,5.22575,5.14749,4.77912,4.57471,4.70953,5.20401,5.09375,5.33272,5.2832,5.15906,4.93447,4.63473,4.62497
4,7.39817,7.66996,7.55119,7.11396,7.23562,7.07918,7.14756,7.13569,6.92461,7.69621,7.42714,7.47364,6.92067,7.16007,7.21818,7.78364,7.39879
4,6.99942,7.20042,7.32712,7.07327,7.2717,6.91771,6.80683,7.01661,7.1507,8.20467,7.45124,7.41276,7.06817,7.32844,7.19293,7.96589,7.3192
4,7.24779,7.3192,7.86327,7.52564,7.8067,7.15462,7.28276,7.31986,7.32119,8.63106,8.12711,7.43011,7.35819,7.73237,7.51589,7.66341,7.86864
3,4.77068,4.58497,6.13556,5.65599,5.68698,5.69373,5.24175,4.8828,4.89035,5.56834,5.98645,5.97381,5.70044,5.64191,5.23644,4.86753,5.20401
4,7.27379,7.55014,7.7803,7.46508,7.58934,7.07242,7.26822,7.18387,7.20712,8.68778,7.9047,7.56008,7.20266,7.56838,7.50329,7.93128,7.62657
4,5.73657,5.05625,5.24175,5.32788,5.0689,5.43372,5.19296,5.31812,5.45104,5.63479,5.5835,4.86753,5.47646,5.49306,5.44674,5.15329,5.78996
4,6.66441,7.35883,7.27379,6.91968,7.03615,6.92363,6.90875,7.0184,6.97635,7.69348,7.13489,6.98749,6.89163,6.88038,6.89871,7.52618,6.98934
4,6.66441,7.35883,7.27379,6.91968,7.03615,6.92363,6.90875,7.0184,6.97635,7.69348,7.13489,6.98749,6.89163,6.88038,6.89871,7.52618,6.98934
4,5.23644,4.5326,4.00733,4.36945,4.76217,4.74493,4.54329,4.70953,4.82831,4.93447,4.90527,4.74493,4.80402,4.66344,4.91265,5.04986,4.98361
3,3.43399,4.78749,5.50939,4.85981,5.01728,5.15329,4.94164,5.02388,4.43082,4.11087,5.0689,5.36129,5.00395,4.66344,4.7185,5.35186,4.46591
1,6.09807,7.39018,7.81803,7.17242,6.82002,6.69456,6.60394,6.4552,5.71373,6.6733,7.16085,7.39265,6.94216,6.73221,6.53233,6.76619,6.07074
2,4.79579,4.35671,4.74493,4.78749,4.63473,4.65396,4.74493,4.89784,4.94876,4.93447,4.98361,4.61512,4.80402,4.66344,4.80402,4.30407,4.85981
1,5.36129,5.52943,6.31173,5.65599,4.39445,4.60517,3.66356,3.63759,4.85981,5.57973,5.56068,4.91998,5.04343,4.40672,4.35671,4.26268,4.57471
1,5.0689,4.96284,5.41165,5.05625,5.11199,5.23111,5.25227,5.7462,5.79301,6.02828,5.69373,4.89035,5.04343,5.00395,5.34233,5.32301,5.77455
4,8.05293,8.32385,8.48239,8.06903,8.25297,7.79482,7.90286,7.80344,7.7178,9.07624,8.22309,7.77359,7.62364,8.04655,8.05293,8.38114,8.27868
4,7.67322,8.01003,8.27078,7.89133,8.17132,7.72621,7.93737,7.94414,7.64444,9.14399,8.42178,7.86978,7.77444,8.32385,8.13447,8.62047,8.22282
1,6.3315,6.66568,7.47079,6.85541,6.49072,6.41673,6.14633,6.33328,6.1203,7.09589,7.18917,6.46614,6.47235,6.48768,6.23245,6.13988,6.23048
1,5.29832,5.43808,5.90808,5.46383,5.23644,5.25227,5.32301,5.1299,5.14749,5.25227,5.81413,5.3845,5.42053,5.21494,5.31812,5.44242,5.24175
3,4.48864,4.29046,5.2933,5.71373,5.52146,5.47227,4.99721,4.59512,4.21951,4.12713,4.49981,4.65396,5.12396,5.03044,4.83628,4.20469,4.30407
2,5.93489,6.11147,6.15486,6.4552,6.88653,6.78784,6.44572,6.24028,6.01859,5.81114,6.03787,6.19644,6.40523,6.72503,6.8222,6.86797,6.82437
1,5.36129,5.90808,6.36647,5.72685,5.23644,5.0814,5.1358,4.8752,5.02388,5.93489,5.99645,5.23644,5.42935,5.39363,4.96284,4.64439,5.1299
